repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.08294930875576037,0.08099768030815722,0.11593182952025344,0.2430223285486443,0.5954892554475081,434.0,0.4827586206896552,0.0707070707070707,0.12334801762114538,396.0,0.02127659574468085,0.21052631578947367,0.03864734299516908,38.0
0,1,0.8796296296296297,0.7059685863874345,0.906829552065154,0.946078431372549,0.6734749455337691,432.0,1.0,0.8725490196078431,0.9319371727748691,408.0,0.3157894736842105,1.0,0.48,24.0
0,2,0.8880407124681934,0.5469503248794803,0.8780380618057678,0.4959900196043486,0.5129256747802068,393.0,0.9274193548387096,0.9530386740331491,0.9400544959128065,362.0,0.19047619047619047,0.12903225806451613,0.15384615384615385,31.0
0,3,0.30996309963099633,0.3096246849669641,0.31972072244392497,0.645265700483092,0.6552072593947916,271.0,0.8653846153846154,0.2,0.3249097472924188,225.0,0.1780821917808219,0.8478260869565217,0.2943396226415094,46.0
0,4,0.24067796610169492,0.23603403625601183,0.28348288467929544,0.4833962264150943,0.495440195536189,295.0,0.8867924528301887,0.17735849056603772,0.29559748427672955,265.0,0.09917355371900827,0.8,0.17647058823529413,30.0
1,0,0.8738738738738738,0.5872235872235873,0.870774951856033,0.9258942703387147,0.7238070699832926,444.0,0.9266503667481663,0.9358024691358025,0.9312039312039312,405.0,0.2571428571428571,0.23076923076923078,0.24324324324324326,39.0
1,1,0.8986175115207373,0.7325190497534737,0.9199869042627244,0.9463414634146342,0.6735032958895596,434.0,1.0,0.8926829268292683,0.9432989690721649,410.0,0.35294117647058826,1.0,0.5217391304347826,24.0
1,2,0.9149484536082474,0.5751119960179194,0.8943819821114265,0.5066413662239089,0.5212320718667174,388.0,0.9285714285714286,0.9831932773109243,0.9551020408163265,357.0,0.4,0.12903225806451613,0.1951219512195122,31.0
1,3,0.862453531598513,0.7509321588548835,0.8581165893251496,0.7822869532428356,0.7341770239331604,269.0,0.9035087719298246,0.9321266968325792,0.9175946547884187,221.0,0.6341463414634146,0.5416666666666666,0.5842696629213483,48.0
1,4,0.6896551724137931,0.40816326530612246,0.7403237156931739,0.3563582594000845,0.48191356960800025,290.0,0.8810572687224669,0.7604562737642585,0.8163265306122449,263.0,0.0,0.0,0.0,27.0
2,0,0.11258278145695365,0.1072535100792219,0.16343925689016514,0.23160699803035567,0.5782957147480261,453.0,0.5584415584415584,0.10462287104622871,0.1762295081967213,411.0,0.02127659574468085,0.19047619047619047,0.03827751196172249,42.0
2,1,0.8981481481481481,0.7323721558909664,0.9196015118520188,0.946078431372549,0.6734749455337691,432.0,1.0,0.8921568627450981,0.9430051813471503,408.0,0.35294117647058826,1.0,0.5217391304347826,24.0
2,2,0.9349593495934959,0.4831932773109244,0.9035321445651431,0.5879227053140097,0.5136366155599059,369.0,0.9349593495934959,1.0,0.9663865546218487,345.0,0.0,0.0,0.0,24.0
2,3,0.49635036496350365,0.47599778270509974,0.5430859242235422,0.5834716076696165,0.6365490107977273,274.0,0.9313725490196079,0.42035398230088494,0.5792682926829268,226.0,0.23837209302325582,0.8541666666666666,0.37272727272727274,48.0
2,4,0.8922558922558923,0.5900621118012422,0.868554419279057,0.519645888915838,0.5282704212368496,297.0,0.9090909090909091,0.9774436090225563,0.9420289855072463,266.0,0.45454545454545453,0.16129032258064516,0.23809523809523808,31.0
3,0,0.9680365296803652,0.9133163698049194,0.970237915422481,0.9972368421052632,0.9784863185816,438.0,1.0,0.965,0.9821882951653944,400.0,0.7307692307692307,1.0,0.8444444444444444,38.0
3,1,0.8986175115207373,0.7325190497534737,0.9199869042627244,0.9463414634146342,0.6735032958895596,434.0,1.0,0.8926829268292683,0.9432989690721649,410.0,0.35294117647058826,1.0,0.5217391304347826,24.0
3,2,0.8992248062015504,0.47346938775510206,0.8784264093234193,0.5777954635893354,0.5145859956913741,387.0,0.925531914893617,0.9693593314763231,0.9469387755102041,359.0,0.0,0.0,0.0,28.0
3,3,0.8657243816254417,0.7112244897959183,0.8537823610009374,0.7007888460832874,0.6659964763296025,283.0,0.8932806324110671,0.9535864978902954,0.9224489795918367,237.0,0.6333333333333333,0.41304347826086957,0.5,46.0
3,4,0.7067137809187279,0.5637663664221376,0.7552453105317679,0.6546060606060606,0.6860001031105714,283.0,0.9282051282051282,0.724,0.8134831460674158,250.0,0.2159090909090909,0.5757575757575758,0.3140495867768595,33.0
4,0,0.0871559633027523,0.08482585490369808,0.12295490143367614,0.2646786564400952,0.6031843867491768,436.0,0.5,0.07537688442211055,0.13100436681222707,398.0,0.02127659574468085,0.21052631578947367,0.03864734299516908,38.0
4,1,0.8986175115207373,0.7325190497534737,0.9199869042627244,0.9463414634146341,0.6735032958895596,434.0,1.0,0.8926829268292683,0.9432989690721649,410.0,0.35294117647058826,1.0,0.5217391304347826,24.0
4,2,0.9025641025641026,0.4743935309973046,0.8831018038565208,0.5888174676053464,0.5166573465623016,390.0,0.9287598944591029,0.9696969696969697,0.9487870619946092,363.0,0.0,0.0,0.0,27.0
4,3,0.4962686567164179,0.47734134608439394,0.5404323815244739,0.7738794147796104,0.7486233535663466,268.0,0.92,0.4200913242009132,0.5768025078369906,219.0,0.24404761904761904,0.8367346938775511,0.3778801843317972,49.0
4,4,0.6734006734006734,0.4966365558331732,0.7326568264488695,0.5681542566092651,0.5656058555580935,297.0,0.9082125603864735,0.706766917293233,0.7949260042283298,266.0,0.13333333333333333,0.3870967741935484,0.19834710743801653,31.0
5,0,0.9125560538116592,0.4771395076201641,0.8708330923829901,0.04791154791154789,0.4802338008616036,446.0,0.9125560538116592,1.0,0.9542790152403282,407.0,0.0,0.0,0.0,39.0
5,1,0.897196261682243,0.7320737536990667,0.9188194472514686,0.9455445544554456,0.6734170118496182,428.0,1.0,0.8910891089108911,0.9424083769633508,404.0,0.35294117647058826,1.0,0.5217391304347826,24.0
5,2,0.39528795811518325,0.3395208191432827,0.4992861361979167,0.5183928571428571,0.5098143200284448,382.0,0.916083916083916,0.3742857142857143,0.5314401622718052,350.0,0.08368200836820083,0.625,0.14760147601476015,32.0
5,3,0.8576642335766423,0.6402868010906521,0.8219449371587566,0.6249078171091446,0.6179282478465138,274.0,0.8582375478927203,0.9911504424778761,0.919917864476386,226.0,0.8461538461538461,0.22916666666666666,0.36065573770491804,48.0
5,4,0.9322033898305084,0.7544122544122545,0.9265367400960622,0.6446239633971976,0.6210520835640195,295.0,0.9494584837545126,0.9776951672862454,0.9633699633699634,269.0,0.6666666666666666,0.46153846153846156,0.5454545454545454,26.0
6,0,0.11699779249448124,0.11602856808336261,0.1394837988324335,0.43970588235294117,0.6417871369411623,453.0,0.5666666666666667,0.08333333333333333,0.1452991452991453,408.0,0.04834605597964377,0.4222222222222222,0.0867579908675799,45.0
6,1,0.8981481481481481,0.7323721558909664,0.9196015118520188,0.946078431372549,0.6734749455337691,432.0,1.0,0.8921568627450981,0.9430051813471503,408.0,0.35294117647058826,1.0,0.5217391304347826,24.0
6,2,0.9166666666666666,0.4782608695652174,0.8768115942028986,0.47895951704545453,0.5030205751129665,384.0,0.9166666666666666,1.0,0.9565217391304348,352.0,0.0,0.0,0.0,32.0
